rule_code,introduced_version,pr_number
PLE1141,0.5.0,
PLE1142,0.5.0,
PLE1205,0.5.0,
PLE1206,0.5.0,
PLE1300,0.5.0,
PLE1307,0.5.0,
PLE1310,0.5.0,
PLE1507,0.5.0,
PLE1519,0.5.0,
PLE1520,0.5.0,
PLE1700,0.5.0,
PLE2502,0.5.0,
PLE2510,0.5.0,
PLE2512,0.5.0,
PLE2513,0.5.0,
PLE2514,0.5.0,
PLE2515,0.5.0,
PLE4703,0.5.0,
PLR0124,0.5.0,
PLR0133,0.5.0,
PLR0202,0.5.0,
PLR0203,0.5.0,
PLR0206,0.5.0,
PLR0402,0.5.0,
PLR0904,0.5.0,
PLR0911,0.5.0,
PLR0912,0.5.0,
PLR0913,0.5.0,
PLR0914,0.5.0,
PLR0915,0.5.0,
PLR0916,0.5.0,
PLR0917,0.5.0,
PLR1701,0.5.0,
PLR1702,0.5.0,
PLR1704,0.5.0,
PLR1706,0.5.0,
PLR1711,0.5.0,
PLR1714,0.5.0,
PLR1716,0.6.8,
PLR1722,0.5.0,
PLR1730,0.5.0,
PLR1733,0.5.0,
PLR1736,0.5.0,
PLR2004,0.5.0,
PLR2044,0.5.0,
PLR5501,0.5.0,
PLR6104,0.5.0,
PLR6201,0.5.0,
PLR6301,0.5.0,
PLW0108,0.5.0,
PLW0120,0.5.0,
PLW0127,0.5.0,
PLW0128,0.5.0,
PLW0129,0.5.0,
PLW0131,0.5.0,
PLW0133,0.5.0,
PLW0177,0.5.0,
PLW0211,0.5.0,
PLW0244,0.9.3,
PLW0245,0.5.0,
PLW0406,0.5.0,
PLW0602,0.5.0,
PLW0603,0.5.0,
PLW0604,0.5.0,
PLW0642,0.5.0,
PLW0711,0.5.0,
PLW1501,0.5.0,
PLW1507,0.7.4,
PLW1508,0.5.0,
PLW1509,0.5.0,
PLW1510,0.5.0,
PLW1514,0.5.0,
PLW1641,0.5.0,
PLW2101,0.5.0,
PLW2901,0.5.0,
PLW3201,0.5.0,
PLW3301,0.5.0,
PT001,0.5.0,
PT002,0.5.0,
PT003,0.5.0,
PT004,0.5.0,
PT005,0.5.0,
PT006,0.5.0,
PT007,0.5.0,
PT008,0.5.0,
PT009,0.5.0,
PT010,0.5.0,
PT011,0.5.0,
PT012,0.5.0,
PT013,0.5.0,
PT014,0.5.0,
PT015,0.5.0,
PT016,0.5.0,
PT017,0.5.0,
PT018,0.5.0,
PT019,0.5.0,
PT020,0.5.0,
PT021,0.5.0,
PT022,0.5.0,
PT023,0.5.0,
PT024,0.5.0,
PT025,0.5.0,
PT026,0.5.0,
PT027,0.5.0,
PT028,0.9.2,
PT029,0.9.2,
PT030,0.9.2,
PT031,0.9.2,
PTH100,0.5.0,
PTH101,0.5.0,
PTH102,0.5.0,
PTH103,0.5.0,
PTH104,0.5.0,
PTH105,0.5.0,
PTH106,0.5.0,
PTH107,0.5.0,
PTH108,0.5.0,
PTH109,0.5.0,
PTH110,0.5.0,
PTH111,0.5.0,
PTH112,0.5.0,
PTH113,0.5.0,
PTH114,0.5.0,
PTH115,0.5.0,
PTH116,0.5.0,
PTH117,0.5.0,
PTH118,0.5.0,
PTH119,0.5.0,
PTH120,0.5.0,
PTH121,0.5.0,
PTH122,0.5.0,
PTH123,0.5.0,
PTH124,0.5.0,
PTH201,0.5.0,
PTH202,0.5.0,
PTH203,0.5.0,
PTH204,0.5.0,
PTH205,0.5.0,
PTH206,0.5.0,
PTH207,0.5.0,
PTH208,0.8.1,
PTH210,0.8.3,
PTH211,0.11.12,
PYI001,0.5.0,
PYI002,0.5.0,
PYI003,0.5.0,
PYI004,0.5.0,
PYI005,0.5.0,
PYI006,0.5.0,
PYI007,0.5.0,
PYI008,0.5.0,
PYI009,0.5.0,
PYI010,0.5.0,
PYI011,0.5.0,
PYI012,0.5.0,
PYI013,0.5.0,
PYI014,0.5.0,
PYI015,0.5.0,
PYI016,0.5.0,
PYI017,0.5.0,
PYI018,0.5.0,
PYI019,0.5.0,
PYI020,0.5.0,
PYI021,0.5.0,
PYI024,0.5.0,
PYI025,0.5.0,
PYI026,0.5.0,
PYI029,0.5.0,
PYI030,0.5.0,
PYI032,0.5.0,
PYI033,0.5.0,
PYI034,0.5.0,
PYI035,0.5.0,
PYI036,0.5.0,
PYI041,0.5.0,
PYI042,0.5.0,
PYI043,0.5.0,
PYI044,0.5.0,
PYI045,0.5.0,
PYI046,0.5.0,
